Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$441,656,664","$331,279",<0.1%,"$441,325,385",99.9%
2,Bad Boys for Life,"$424,617,855","$204,417,855",48.1%,"$220,200,000",51.9%
3,Tenet,"$307,700,000","$45,100,000",14.7%,"$262,600,000",85.3%
4,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
5,Dolittle,"$245,516,662","$77,047,065",31.4%,"$168,469,597",68.6%
6,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
7,Legend of Deification,"$151,978,673",-,-,"$151,978,673",100%
8,Onward,"$140,245,724","$61,555,145",43.9%,"$78,690,579",56.1%
9,The Invisible Man,"$130,747,986","$64,914,050",49.6%,"$65,833,936",50.4%
10,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
11,Mulan,"$66,800,000",-,-,"$66,800,000",100%
12,Fantasy Island,"$47,616,699","$26,441,782",55.5%,"$21,174,917",44.5%
13,The New Mutants,"$42,135,615","$21,135,615",50.2%,"$21,000,000",49.8%
14,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
15,After We Collided,"$39,700,000",-,-,"$39,700,000",100%
16,Unhinged,"$36,540,332","$18,540,332",50.7%,"$18,000,000",49.3%
17,Train to Busan Presents: Peninsula,"$35,998,362","$1,106,651",3.1%,"$34,891,711",96.9%
18,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
19,Bloodshot,"$30,937,916","$10,021,787",32.4%,"$20,916,129",67.6%
20,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
21,Emma.,"$25,643,186","$10,055,355",39.2%,"$15,587,831",60.8%
22,Greenland,"$23,800,000",-,-,"$23,800,000",100%
23,Trolls World Tour,"$23,705,759",-,-,"$23,705,759",100%
24,Scoob!,"$22,800,000",-,-,"$22,800,000",100%
25,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
26,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
27,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
28,The Turning,"$18,714,343","$15,472,775",82.7%,"$3,241,568",17.3%
29,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$17,850,900",-,-,"$17,850,900",100%
30,Baaghi 3,"$16,726,319","$721,439",4.3%,"$16,004,880",95.7%
31,I Still Believe,"$15,647,958","$9,868,521",63.1%,"$5,779,437",36.9%
32,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
33,The Personal History of David Copperfield,"$13,046,345","$1,851,288",14.2%,"$11,195,057",85.8%
34,The Hunt,"$10,890,815","$5,812,500",53.4%,"$5,078,315",46.6%
35,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
36,My Spy,"$10,200,000",-,-,"$10,200,000",100%
37,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
38,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
39,Malang,"$8,397,569",-,-,"$8,397,569",100%
40,Spirited Away Studio Ghibli Fest 2020,"$7,724,266",-,-,"$7,724,266",100%
41,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
42,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
43,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
44,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
45,Bill & Ted Face the Music,"$5,689,717","$3,344,875",58.8%,"$2,344,842",41.2%
46,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
47,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
48,Antebellum,"$4,830,959",-,-,"$4,830,959",100%
49,Gladiator 20th Anniversary,"$4,777,216",-,-,"$4,777,216",100%
50,The SpongeBob Movie: Sponge on the Run,"$4,587,858","$4,587,858",100%,-,-
51,The Broken Hearts Gallery,"$4,425,771","$3,799,213",85.8%,"$626,558",14.2%
52,Clueless 25th Anniversary,"$4,263,607",-,-,"$4,263,607",100%
53,Military Wives,"$4,127,775",-,-,"$4,127,775",100%
54,Digimon Adventure: Last Evolution Kizuna,"$3,989,892",-,-,"$3,989,892",100%
55,The Wretched,"$3,936,556","$1,814,193",46.1%,"$2,122,363",53.9%
56,Infidel,"$3,529,073","$3,529,073",100%,-,-
57,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
58,Samsam,"$3,311,093","$53,273",1.6%,"$3,257,820",98.4%
59,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
60,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
61,No Escape,"$2,907,279","$146,030",5%,"$2,761,249",95%
62,The Rental,"$2,894,623","$1,635,175",56.5%,"$1,259,448",43.5%
63,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$2,871,382","$2,258,000",78.6%,"$613,382",21.4%
64,Ava,"$2,612,557","$336,060",12.9%,"$2,276,497",87.1%
65,Words on Bathroom Walls,"$2,443,386","$2,443,386",100%,-,-
66,The Secret: Dare to Dream,"$2,416,546",-,-,"$2,416,546",100%
67,The King of Staten Island,"$2,080,275",-,-,"$2,080,275",100%
68,The High Note,"$2,029,462",-,-,"$2,029,462",100%
69,Hocus Pocus 2020 Re-release,"$1,925,000","$1,925,000",100%,-,-
70,Jurassic Park 2020 Re-release,"$1,896,545","$1,386,600",73.1%,"$509,945",26.9%
71,Made in Italy,"$1,787,709","$101,145",5.7%,"$1,686,564",94.3%
72,Relic,"$1,515,433","$1,047,083",69.1%,"$468,350",30.9%
73,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
74,The War with Grandpa,"$1,395,632",-,-,"$1,395,632",100%
75,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
76,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,354,584","$198,352",14.6%,"$1,156,232",85.4%
77,The Assistant,"$1,338,220","$1,100,313",82.2%,"$237,907",17.8%
78,The Goonies 2020 Re-release,"$1,236,438","$825,000",66.7%,"$411,438",33.3%
79,The Perfect Candidate,"$1,229,580",-,-,"$1,229,580",100%
80,The Outpost,"$1,125,483",-,-,"$1,125,483",100%
81,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
82,Misbehaviour,"$1,051,083",-,-,"$1,051,083",100%
83,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
84,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
85,The Tax Collector,"$942,666","$942,666",100%,-,-
86,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
87,Mafia Inc,"$889,863","$889,863",100%,-,-
88,Savage,"$826,631",-,-,"$826,631",100%
89,Cut Throat City,"$791,413","$782,379",98.9%,"$9,034",1.1%
90,Babyteeth,"$791,206","$4,507",0.6%,"$786,699",99.4%
91,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
92,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
93,Hope Gap,"$692,134","$104,732",15.1%,"$587,402",84.9%
94,Shortcut,"$655,195","$655,195",100%,-,-
95,Black Water: Abyss,"$628,683",-,-,"$628,683",100%
96,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
97,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
98,Palm Springs,"$557,004","$164,000",29.4%,"$393,004",70.6%
99,Followed,"$548,608","$538,179",98.1%,"$10,429",1.9%
100,The Last Shift,"$546,683","$546,683",100%,-,-
101,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
102,Once Were Brothers: Robbie Robertson and the Band,"$536,317","$449,561",83.8%,"$86,756",16.2%
103,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
104,Black Panther 2020 Re-release,"$513,326","$367,000",71.5%,"$146,326",28.5%
105,The Burnt Orange Heresy,"$499,391","$144,201",28.9%,"$355,190",71.1%
106,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
